Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"MultiMapUtilsTest.java",1,17,1,3
File,"MultiSet.java",0,0,0,0
File,"MultiSetUtils.java",0,5,1,1
File,"MultiSetUtilsTest.java",0,13,1,1
File,"MultiValueMap.java",3,63,1,4
File,"MultiValueMapTest.java",1,42,1,2
File,"MultiValuedMap.java",0,0,0,0
File,"Murmur128x64Cyclic.java",1,8,1,2
File,"Murmur128x64CyclicTest.java",0,2,1,1
File,"Murmur32x86Iterative.java",0,7,1,1
File,"Murmur32x86IterativeTest.java",0,2,1,1
File,"NOPClosure.java",0,4,1,1
File,"NOPTransformer.java",0,4,1,1
File,"NodeCachingLinkedList.java",1,19,1,2
File,"NodeCachingLinkedListTest.java",1,10,1,3
File,"NodeListIterator.java",1,6,1,2
File,"NodeListIteratorTest.java",1,14,1,2
File,"NonePredicate.java",2,8,2,3
File,"NotNullPredicate.java",0,4,1,1
File,"NotPredicate.java",0,4,1,1
File,"NullComparator.java",1,16,2,6
File,"NullIsExceptionPredicate.java",1,5,1,2
File,"NullIsFalsePredicate.java",1,5,1,2
File,"NullIsTruePredicate.java",1,5,1,2
File,"NullPredicate.java",0,4,1,1
File,"NullPredicateTest.java",0,3,1,1
File,"ObjectArrayIterator.java",1,15,1,5
File,"ObjectArrayIteratorTest.java",1,14,1,3
File,"ObjectArrayListIterator.java",1,14,1,2
File,"ObjectArrayListIterator2Test.java",0,6,1,1
File,"ObjectArrayListIteratorTest.java",1,11,1,4
File,"ObjectGraphIterator.java",3,21,2,6
File,"ObjectGraphIteratorTest.java",1,56,1,5
File,"ObjectToStringComparator.java",1,4,4,4
File,"ObjectsHashIterative.java",1,8,1,2
File,"ObjectsHashIterativeTest.java",1,3,1,2
File,"OnePredicate.java",3,9,2,4
File,"OrPredicate.java",0,4,1,1
File,"OrderedBidiMap.java",0,0,0,0
File,"OrderedIterator.java",0,0,0,0
File,"OrderedMap.java",0,0,0,0
File,"OrderedMapIterator.java",0,0,0,0
File,"PROPOSAL.html",0,0,0,0
File,"PassiveExpiringMap.java",2,38,1,3
File,"PassiveExpiringMapTest.java",1,30,1,3
File,"PatriciaTrie.java",0,2,1,1
File,"PatriciaTrie2Test.java",0,5,1,1
File,"PatriciaTrieTest.java",1,27,1,2
File,"PeekingIterator.java",1,17,2,3
File,"PeekingIteratorTest.java",1,14,1,2
File,"PermutationIterator.java",3,13,3,9
File,"PermutationIteratorTest.java",2,20,1,4
File,"Predicate.java",0,0,0,0
File,"PredicateDecorator.java",0,0,0,0
File,"PredicateTransformer.java",1,5,1,2
File,"PredicateUtils.java",0,30,1,1
File,"PredicateUtilsTest.java",1,106,1,2
File,"PredicatedBag.java",0,9,1,1
File,"PredicatedBagTest.java",1,15,1,2
File,"PredicatedCollection.java",2,27,1,3
File,"PredicatedCollectionBuilderTest.java",0,10,1,1
File,"PredicatedCollectionTest.java",0,14,1,1
File,"PredicatedList.java",1,19,1,2
File,"PredicatedListTest.java",0,15,1,1
File,"PredicatedMap.java",1,14,1,3
File,"PredicatedMapTest.java",0,12,1,1
File,"PredicatedMultiSet.java",0,11,1,1
File,"PredicatedMultiSetTest.java",1,15,1,2
File,"PredicatedNavigableSet.java",0,14,1,1
File,"PredicatedNavigableSetTest.java",0,13,1,1
File,"PredicatedQueue.java",0,8,1,1
File,"PredicatedQueueTest.java",0,11,1,1
File,"PredicatedSet.java",0,5,1,1
File,"PredicatedSetTest.java",0,12,1,1
File,"PredicatedSortedBag.java",0,6,1,1
File,"PredicatedSortedBagTest.java",0,12,1,1
File,"PredicatedSortedMap.java",0,9,1,1
File,"PredicatedSortedMapTest.java",0,22,1,1
File,"PredicatedSortedSet.java",0,9,1,1
File,"PredicatedSortedSetTest.java",0,13,1,1
File,"PropertiesFactory.java",0,47,1,1
File,"PropertiesFactoryTest.java",0,2,1,1
File,"PrototypeFactory.java",3,19,2,5
File,"PushbackIterator.java",1,8,1,2
File,"PushbackIteratorTest.java",1,11,1,2
File,"Put.java",0,0,0,0
File,"QueueUtils.java",0,6,1,1
File,"QueueUtilsTest.java",0,12,1,1
File,"ReferenceIdentityMap.java",0,12,1,2
File,"ReferenceIdentityMapTest.java",2,20,1,4
File,"ReferenceMap.java",0,7,1,1
File,"ReferenceMapTest.java",2,27,1,5
File,"ReplacementsFinder.java",1,5,1,2
File,"ReplacementsHandler.java",0,0,0,0
File,"ResettableIterator.java",0,0,0,0
File,"ResettableListIterator.java",0,0,0,0
File,"ReverseComparator.java",1,9,1,4
File,"ReverseComparatorTest.java",0,5,1,1
File,"ReverseListIterator.java",1,14,1,2
File,"ReverseListIteratorTest.java",1,14,1,3
File,"SequencesComparator.java",4,27,2,12
File,"SequencesComparatorTest.java",3,25,2,7
File,"SetDefaultLocaleTestRule.java",1,4,1,1
File,"SetOperations.java",1,13,1,2
File,"SetOperationsTest.java",0,19,1,1
File,"SetUniqueList.java",2,42,1,3
File,"SetUniqueListTest.java",2,49,1,4
File,"SetUtils.java",2,50,1,4
File,"SetUtilsTest.java",1,35,1,2
File,"SetValuedMap.java",0,0,0,0
File,"Shape.java",1,27,1,2
File,"ShapeTest.java",2,66,1,3
File,"Signatures.java",0,2,1,1
File,"SingletonIterator.java",1,9,1,3
File,"SingletonIterator2Test.java",1,8,1,2
File,"SingletonIteratorTest.java",1,9,1,2
File,"SingletonListIterator.java",1,17,1,2
File,"SingletonListIteratorTest.java",1,10,1,3
File,"SingletonMap.java",1,71,1,4
